Meses,Producto,Region,Año,Valor
Abril,Total leche fluida elaborada (Litros),Los Ríos,2002,5021182
Mayo,Total leche fluida elaborada (Litros),Los Ríos,2002,3227361
Junio,Total leche fluida elaborada (Litros),Los Ríos,2002,4000930
Julio,Total leche fluida elaborada (Litros),Los Ríos,2002,4112929
Agosto,Total leche fluida elaborada (Litros),Los Ríos,2002,4054395
Septiembre,Total leche fluida elaborada (Litros),Los Ríos,2002,4641791
Octubre,Total leche fluida elaborada (Litros),Los Ríos,2002,4808855
Noviembre,Total leche fluida elaborada (Litros),Los Ríos,2002,5442620
Diciembre,Total leche fluida elaborada (Litros),Los Ríos,2002,4973811
Enero,Total leche fluida elaborada (Litros),Los Lagos,2002,2464035
Febrero,Total leche fluida elaborada (Litros),Los Lagos,2002,2286832
Marzo,Total leche fluida elaborada (Litros),Los Lagos,2002,3545950
Abril,Total leche fluida elaborada (Litros),Los Lagos,2002,3415970
Mayo,Total leche fluida elaborada (Litros),Los Lagos,2002,2719438
Junio,Total leche fluida elaborada (Litros),Los Lagos,2002,2223857
Julio,Total leche fluida elaborada (Litros),Los Lagos,2002,2264542
Agosto,Total leche fluida elaborada (Litros),Los Lagos,2002,2376478
Septiembre,Total leche fluida elaborada (Litros),Los Lagos,2002,946826
Octubre,Total leche fluida elaborada (Litros),Los Lagos,2002,939630
Noviembre,Total leche fluida elaborada (Litros),Los Lagos,2002,991335
Diciembre,Total leche fluida elaborada (Litros),Los Lagos,2002,598376
Enero,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Febrero,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Marzo,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Abril,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Mayo,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Junio,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Julio,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Agosto,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Septiembre,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Octubre,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Noviembre,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Diciembre,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2002,0
Enero,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,6150
Febrero,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,17010
Marzo,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,0
Abril,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,3615
Mayo,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,8220
Junio,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,0
Julio,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,81641
Agosto,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,9138
Septiembre,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,16200
Octubre,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,2910
Noviembre,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,4440
Diciembre,Leche en polvo 20 % m.g. (Kilos),Biobío,2002,9780
Enero,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1458072
Febrero,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1133581
Marzo,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1108709
Abril,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1123685
Mayo,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1055718
Junio,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1010414
Julio,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,823069
Agosto,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1010270
Septiembre,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,904125
Octubre,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1054280
Noviembre,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1081039
Diciembre,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2002,1067359
Enero,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,622250
Febrero,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,273400
Marzo,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,109825
Abril,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,651675
Mayo,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,29725
Junio,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,11000
Julio,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,26425
Agosto,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,299650
Septiembre,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,582325
Octubre,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,639625
Noviembre,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,599050
Diciembre,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2002,758325
Enero,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,5829540
Febrero,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,3210492
Marzo,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,2564975
Abril,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,3306445
Mayo,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,3675150
Junio,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,2607005
Julio,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,2676860
Agosto,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,3377270
Septiembre,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,4498085
Octubre,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,6140239
Noviembre,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,5740720
Diciembre,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2002,6490118
Enero,Total leche en polvo (Kilos),Metropolitana,2002,0
Febrero,Total leche en polvo (Kilos),Metropolitana,2002,0
Marzo,Total leche en polvo (Kilos),Metropolitana,2002,0
Abril,Total leche en polvo (Kilos),Metropolitana,2002,0
Mayo,Total leche en polvo (Kilos),Metropolitana,2002,0
Junio,Total leche en polvo (Kilos),Metropolitana,2002,0
Julio,Total leche en polvo (Kilos),Metropolitana,2002,0
Agosto,Total leche en polvo (Kilos),Metropolitana,2002,0
Septiembre,Total leche en polvo (Kilos),Metropolitana,2002,0
Octubre,Total leche en polvo (Kilos),Metropolitana,2002,0
Noviembre,Total leche en polvo (Kilos),Metropolitana,2002,0
Diciembre,Total leche en polvo (Kilos),Metropolitana,2002,0
Enero,Total leche en polvo (Kilos),Biobío,2002,6150
Febrero,Total leche en polvo (Kilos),Biobío,2002,17010
Marzo,Total leche en polvo (Kilos),Biobío,2002,0
Abril,Total leche en polvo (Kilos),Biobío,2002,3615
Mayo,Total leche en polvo (Kilos),Biobío,2002,8220
Junio,Total leche en polvo (Kilos),Biobío,2002,0
Julio,Total leche en polvo (Kilos),Biobío,2002,81641
Agosto,Total leche en polvo (Kilos),Biobío,2002,9138
Septiembre,Total leche en polvo (Kilos),Biobío,2002,16200
Octubre,Total leche en polvo (Kilos),Biobío,2002,2910
Noviembre,Total leche en polvo (Kilos),Biobío,2002,4440
Diciembre,Total leche en polvo (Kilos),Biobío,2002,9780
Enero,Total leche en polvo (Kilos),La Araucanía,2002,1458072
Febrero,Total leche en polvo (Kilos),La Araucanía,2002,1133581
Marzo,Total leche en polvo (Kilos),La Araucanía,2002,1108709
Abril,Total leche en polvo (Kilos),La Araucanía,2002,1123685
Mayo,Total leche en polvo (Kilos),La Araucanía,2002,1055718
Junio,Total leche en polvo (Kilos),La Araucanía,2002,1010414
Julio,Total leche en polvo (Kilos),La Araucanía,2002,823069
Agosto,Total leche en polvo (Kilos),La Araucanía,2002,1010270
Septiembre,Total leche en polvo (Kilos),La Araucanía,2002,904125
Octubre,Total leche en polvo (Kilos),La Araucanía,2002,1054280
Noviembre,Total leche en polvo (Kilos),La Araucanía,2002,1081039
Diciembre,Total leche en polvo (Kilos),La Araucanía,2002,1067359
Enero,Total leche en polvo (Kilos),Los Ríos,2002,622250
Febrero,Total leche en polvo (Kilos),Los Ríos,2002,273400
Marzo,Total leche en polvo (Kilos),Los Ríos,2002,109825
Abril,Total leche en polvo (Kilos),Los Ríos,2002,651675
Mayo,Total leche en polvo (Kilos),Los Ríos,2002,29725
Junio,Total leche en polvo (Kilos),Los Ríos,2002,11000
Julio,Total leche en polvo (Kilos),Los Ríos,2002,26425
Agosto,Total leche en polvo (Kilos),Los Ríos,2002,299650
Septiembre,Total leche en polvo (Kilos),Los Ríos,2002,582325
Octubre,Total leche en polvo (Kilos),Los Ríos,2002,639625
Noviembre,Total leche en polvo (Kilos),Los Ríos,2002,599050
Diciembre,Total leche en polvo (Kilos),Los Ríos,2002,758325
Enero,Total leche en polvo (Kilos),Los Lagos,2002,5829540
Febrero,Total leche en polvo (Kilos),Los Lagos,2002,3210492
Marzo,Total leche en polvo (Kilos),Los Lagos,2002,2564975
Abril,Total leche en polvo (Kilos),Los Lagos,2002,3306445
Mayo,Total leche en polvo (Kilos),Los Lagos,2002,3675150
Junio,Total leche en polvo (Kilos),Los Lagos,2002,2607005
Julio,Total leche en polvo (Kilos),Los Lagos,2002,2676860
Agosto,Total leche en polvo (Kilos),Los Lagos,2002,3377270
Septiembre,Total leche en polvo (Kilos),Los Lagos,2002,4498085
Octubre,Total leche en polvo (Kilos),Los Lagos,2002,6140239
Noviembre,Total leche en polvo (Kilos),Los Lagos,2002,5740720
Diciembre,Total leche en polvo (Kilos),Los Lagos,2002,6490118
Enero,Crema (Kilos),Metropolitana,2002,539972
Febrero,Crema (Kilos),Metropolitana,2002,155156
Marzo,Crema (Kilos),Metropolitana,2002,181796
Abril,Crema (Kilos),Metropolitana,2002,277999
Mayo,Crema (Kilos),Metropolitana,2002,240555
Junio,Crema (Kilos),Metropolitana,2002,179853
Julio,Crema (Kilos),Metropolitana,2002,278733
Agosto,Crema (Kilos),Metropolitana,2002,285635
Septiembre,Crema (Kilos),Metropolitana,2002,356484
Octubre,Crema (Kilos),Metropolitana,2002,314114
Noviembre,Crema (Kilos),Metropolitana,2002,359452
Diciembre,Crema (Kilos),Metropolitana,2002,261011
Enero,Crema (Kilos),Ñuble,2002,0
Febrero,Crema (Kilos),Ñuble,2002,0
Marzo,Crema (Kilos),Ñuble,2002,0
Abril,Crema (Kilos),Ñuble,2002,0
Mayo,Crema (Kilos),Ñuble,2002,0
Junio,Crema (Kilos),Ñuble,2002,0
Julio,Crema (Kilos),Ñuble,2002,0
Agosto,Crema (Kilos),Ñuble,2002,0
Septiembre,Crema (Kilos),Ñuble,2002,0
Octubre,Crema (Kilos),Ñuble,2002,0
Noviembre,Crema (Kilos),Ñuble,2002,0
Diciembre,Crema (Kilos),Ñuble,2002,0
Enero,Crema (Kilos),Biobío,2002,298050
Febrero,Crema (Kilos),Biobío,2002,273692
Marzo,Crema (Kilos),Biobío,2002,313347
Abril,Crema (Kilos),Biobío,2002,322967
Mayo,Crema (Kilos),Biobío,2002,417235
Junio,Crema (Kilos),Biobío,2002,294894
Julio,Crema (Kilos),Biobío,2002,308485
Agosto,Crema (Kilos),Biobío,2002,281629
Septiembre,Crema (Kilos),Biobío,2002,188070
Octubre,Crema (Kilos),Biobío,2002,362150
Noviembre,Crema (Kilos),Biobío,2002,381216
Diciembre,Crema (Kilos),Biobío,2002,433584
Enero,Crema (Kilos),Los Ríos,2002,130126
Febrero,Crema (Kilos),Los Ríos,2002,108773
Marzo,Crema (Kilos),Los Ríos,2002,126172
Abril,Crema (Kilos),Los Ríos,2002,127853
Mayo,Crema (Kilos),Los Ríos,2002,117874
Junio,Crema (Kilos),Los Ríos,2002,154935
Julio,Crema (Kilos),Los Ríos,2002,164231
Agosto,Crema (Kilos),Los Ríos,2002,158600
Septiembre,Crema (Kilos),Los Ríos,2002,125692
Octubre,Crema (Kilos),Los Ríos,2002,166729
Noviembre,Crema (Kilos),Los Ríos,2002,191536
Diciembre,Crema (Kilos),Los Ríos,2002,207195
Enero,Crema (Kilos),Los Lagos,2002,544160
Febrero,Crema (Kilos),Los Lagos,2002,455636
Marzo,Crema (Kilos),Los Lagos,2002,625978
Abril,Crema (Kilos),Los Lagos,2002,434047
Mayo,Crema (Kilos),Los Lagos,2002,153947
Junio,Crema (Kilos),Los Lagos,2002,399703
Julio,Crema (Kilos),Los Lagos,2002,361695
Agosto,Crema (Kilos),Los Lagos,2002,359151
Septiembre,Crema (Kilos),Los Lagos,2002,365433
Octubre,Crema (Kilos),Los Lagos,2002,289493
Noviembre,Crema (Kilos),Los Lagos,2002,108440
Diciembre,Crema (Kilos),Los Lagos,2002,349411
Enero,Leche condensada (Kilos),Biobío,2002,1836290
Febrero,Leche condensada (Kilos),Biobío,2002,1021200
Marzo,Leche condensada (Kilos),Biobío,2002,2113390
Abril,Leche condensada (Kilos),Biobío,2002,2416200
Mayo,Leche condensada (Kilos),Biobío,2002,2600970
Junio,Leche condensada (Kilos),Biobío,2002,2956550
Julio,Leche condensada (Kilos),Biobío,2002,2371010
Agosto,Leche condensada (Kilos),Biobío,2002,1189510
Septiembre,Leche condensada (Kilos),Biobío,2002,511730
Octubre,Leche condensada (Kilos),Biobío,2002,1077590
Noviembre,Leche condensada (Kilos),Biobío,2002,2424800
Diciembre,Leche condensada (Kilos),Biobío,2002,2529290
Enero,Leche condensada (Kilos),La Araucanía,2002,84730
Febrero,Leche condensada (Kilos),La Araucanía,2002,90470
Marzo,Leche condensada (Kilos),La Araucanía,2002,66374
Abril,Leche condensada (Kilos),La Araucanía,2002,59578
Mayo,Leche condensada (Kilos),La Araucanía,2002,37511
Junio,Leche condensada (Kilos),La Araucanía,2002,88598
Julio,Leche condensada (Kilos),La Araucanía,2002,90048
Agosto,Leche condensada (Kilos),La Araucanía,2002,44798
Septiembre,Leche condensada (Kilos),La Araucanía,2002,129782
Octubre,Leche condensada (Kilos),La Araucanía,2002,181790
Noviembre,Leche condensada (Kilos),La Araucanía,2002,127658
Diciembre,Leche condensada (Kilos),La Araucanía,2002,140347
Enero,Leche cultivada (Litros),Metropolitana,2002,0
Febrero,Leche cultivada (Litros),Metropolitana,2002,0
Marzo,Leche cultivada (Litros),Metropolitana,2002,0
Abril,Leche cultivada (Litros),Metropolitana,2002,0
Mayo,Leche cultivada (Litros),Metropolitana,2002,0
Junio,Leche cultivada (Litros),Metropolitana,2002,0
Julio,Leche cultivada (Litros),Metropolitana,2002,0
Agosto,Leche cultivada (Litros),Metropolitana,2002,0
Septiembre,Leche cultivada (Litros),Metropolitana,2002,0
Octubre,Leche cultivada (Litros),Metropolitana,2002,0
Noviembre,Leche cultivada (Litros),Metropolitana,2002,0
Diciembre,Leche cultivada (Litros),Metropolitana,2002,0
Enero,Leche cultivada (Litros),Ñuble,2002,0
Febrero,Leche cultivada (Litros),Ñuble,2002,0
Marzo,Leche cultivada (Litros),Ñuble,2002,0
Abril,Leche cultivada (Litros),Ñuble,2002,0
Mayo,Leche cultivada (Litros),Ñuble,2002,0
Junio,Leche cultivada (Litros),Ñuble,2002,0
Julio,Leche cultivada (Litros),Ñuble,2002,0
Agosto,Leche cultivada (Litros),Ñuble,2002,0
Septiembre,Leche cultivada (Litros),Ñuble,2002,0
Octubre,Leche cultivada (Litros),Ñuble,2002,0
Noviembre,Leche cultivada (Litros),Ñuble,2002,0
Diciembre,Leche cultivada (Litros),Ñuble,2002,0
Enero,Leche cultivada (Litros),Biobío,2002,0
Febrero,Leche cultivada (Litros),Biobío,2002,0
Marzo,Leche cultivada (Litros),Biobío,2002,0
Abril,Leche cultivada (Litros),Biobío,2002,0
Mayo,Leche cultivada (Litros),Biobío,2002,0
Junio,Leche cultivada (Litros),Biobío,2002,0
Julio,Leche cultivada (Litros),Biobío,2002,0
Agosto,Leche cultivada (Litros),Biobío,2002,0
Septiembre,Leche cultivada (Litros),Biobío,2002,0
Octubre,Leche cultivada (Litros),Biobío,2002,0
Noviembre,Leche cultivada (Litros),Biobío,2002,0
Diciembre,Leche cultivada (Litros),Biobío,2002,0
Enero,Leche cultivada (Litros),Los Ríos,2002,0
Febrero,Leche cultivada (Litros),Los Ríos,2002,0
Marzo,Leche cultivada (Litros),Los Ríos,2002,0
Abril,Leche cultivada (Litros),Los Ríos,2002,0
Mayo,Leche cultivada (Litros),Los Ríos,2002,0
Junio,Leche cultivada (Litros),Los Ríos,2002,0
Julio,Leche cultivada (Litros),Los Ríos,2002,0
Agosto,Leche cultivada (Litros),Los Ríos,2002,0
Septiembre,Leche cultivada (Litros),Los Ríos,2002,0
Octubre,Leche cultivada (Litros),Los Ríos,2002,0
Noviembre,Leche cultivada (Litros),Los Ríos,2002,0
Diciembre,Leche cultivada (Litros),Los Ríos,2002,0
Enero,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,164690
Febrero,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,197245
Marzo,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,306170
Abril,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,109910
Mayo,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,230785
Junio,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,76565
Julio,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,187735
Agosto,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,98910
Septiembre,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,128330
Octubre,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,215065
Noviembre,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,54590
Diciembre,Leche en polvo 12 % m.g. (Kilos),Los Lagos,2002,117790
Enero,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Febrero,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Marzo,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Abril,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Mayo,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Junio,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Julio,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Agosto,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,390
Septiembre,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Octubre,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Noviembre,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Diciembre,Leche en polvo 18 % m.g. (Kilos),Biobío,2002,0
Enero,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,0
Febrero,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,73350
Marzo,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,45570
Abril,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,100455
Mayo,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,40345
Junio,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,28830
Julio,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,16350
Agosto,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,16350
Septiembre,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,31590
Octubre,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,0
Noviembre,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,0
Diciembre,Leche en polvo 18 % m.g. (Kilos),La Araucanía,2002,0
Enero,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Febrero,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Marzo,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Abril,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Mayo,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Junio,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Julio,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Agosto,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Septiembre,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Octubre,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Noviembre,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Diciembre,Leche en polvo 18 % m.g. (Kilos),Los Ríos,2002,0
Enero,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,8350
Febrero,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,8550
Marzo,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,8150
Abril,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,5175
Mayo,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,4625
Junio,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,0
Julio,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,0
Agosto,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,0
Septiembre,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,9900
Octubre,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,7150
Noviembre,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,875
Diciembre,Leche en polvo 18 % m.g. (Kilos),Los Lagos,2002,5850
Enero,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,0
Febrero,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,11940
Marzo,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,0
Abril,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,0
Mayo,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,0
Junio,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,0
Julio,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,79091
Agosto,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,8748
Septiembre,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,16200
Octubre,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,2910
Noviembre,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,4440
Diciembre,Leche en polvo 26 % m.g. (Kilos),Biobío,2002,9780
Enero,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,1423982
Febrero,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,999344
Marzo,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,1029036
Abril,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,1018610
Mayo,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,969054
Junio,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,937314
Julio,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,742229
Agosto,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,954100
Septiembre,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,644210
Octubre,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,662670
Noviembre,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,778214
Diciembre,Leche en polvo 26 % m.g. (Kilos),La Araucanía,2002,906509
Enero,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,477175
Febrero,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,196100
Marzo,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,109825
Abril,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,600125
Mayo,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,29725
Junio,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,600
Julio,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,26425
Agosto,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,299650
Septiembre,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,582325
Octubre,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,538625
Noviembre,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,560150
Diciembre,Leche en polvo 26 % m.g. (Kilos),Los Ríos,2002,682500
